NLP,issue,art_num,title,collection,full_date,year,month,day,location,word_count,ocrquality,decade
0003058,817,art0009,"The Central Glamorgan Gazette, and General, Commercial, and Agricultural Advertiser.",British Library Living with Machines Project,1883-08-17,1883,8,17,"Bridgend, Mid Glamorgan, Wales",8,0.735,1880
0003039,326,art0038,The Northern Guardian.,British Library Living with Machines Project,1896-03-26,1896,3,26,"Hartlepool, Cleveland, England",141,0.9905,1890
0003060,626,art0094,"Bridport, Beaminster, and Lyme Regis Telegram and Dorset, Somerset, and Devon Advertiser.",British Library Living with Machines Project,1885-06-26,1885,6,26,"Bridport, Dorset, England",524,0.9631,1880
0003061,1207,art0065,Brighouse & Rastrick Gazette.,British Library Living with Machines Project,1889-12-07,1889,12,7,"Brighouse, West Yorkshire, England",121,0.9492,1880
0002981,217,art0120,"The Weymouth, Portland and Dorchester Telegram.",British Library Living with Machines Project,1882-02-17,1882,2,17,"Weymouth, Dorset, England",20,0.8105,1880
0002620,1006,art0061,"Denton and Haughton Examiner, etc.",British Library Living with Machines Project,1888-10-06,1888,10,6,"Denton, Greater Manchester, England",102,0.785,1880
0003039,213,art0002,The Northern Guardian.,British Library Living with Machines Project,1894-02-13,1894,2,13,"Hartlepool, Cleveland, England",2,0.76,1890
0003060,529,art0066,"Bridport, Beaminster, and Lyme Regis Telegram and Dorset, Somerset, and Devon Advertiser.",British Library Living with Machines Project,1885-05-29,1885,5,29,"Bridport, Dorset, England",38,0.9805,1880
0002982,731,art0080,The Telegram.,British Library Living with Machines Project,1894-07-31,1894,7,31,"Weymouth, Dorset, England",153,0.5865,1890
0003077,919,art0126,"Nelson Chronicle, Colne Observer, and Clitheroe Division News.",British Library Living with Machines Project,1890-09-19,1890,9,19,"Nelson, Lancashire, England",2,0.725,1890
0003082,916,art0020,"The Pontypridd District Herald and Rhondda Valley, Llantrisant, Caerphilly, and Mountain Ash News.",British Library Living with Machines Project,1893-09-16,1893,9,16,"Pontypridd, Mid Glamorgan, Wales",177,0.9101,1890
0002609,1111,art0058,Runcorn Examiner.,British Library Living with Machines Project,1893-11-11,1893,11,11,"Runcorn, Cheshire, England",72,0.9914,1890
0003039,328,art0003,The Northern Guardian.,British Library Living with Machines Project,1896-03-28,1896,3,28,"Hartlepool, Cleveland, England",2,1.0,1890
0003058,130,art0060,"The Central Glamorgan Gazette, and General, Commercial, and Agricultural Advertiser.",British Library Living with Machines Project,1891-01-30,1891,1,30,"Bridgend, Mid Glamorgan, Wales",49,0.8831,1890
0003039,1218,art0108,The Northern Guardian.,British Library Living with Machines Project,1897-12-18,1897,12,18,"Hartlepool, Cleveland, England",89,0.9398,1890
0003058,1130,art0054,"The Central Glamorgan Gazette, and General, Commercial, and Agricultural Advertiser.",British Library Living with Machines Project,1888-11-30,1888,11,30,"Bridgend, Mid Glamorgan, Wales",44,0.9691,1880
0002601,126,art0080,Widnes Examiner.,British Library Living with Machines Project,1889-01-26,1889,1,26,"Widnes, Cheshire, England",5,0.73,1880
0003045,1230,art0042,"The Atherstone, Nuneaton, and Warwickshire Times.",British Library Living with Machines Project,1882-12-30,1882,12,30,"Atherstone, Warwickshire, England",8,0.985,1880
0003098,202,art0004,Swansea Journal and South Wales Liberal.,British Library Living with Machines Project,1895-02-02,1895,2,2,"Swansea, West Glamorgan, Wales",14,0.985,1890
0003045,1008,art0081,"The Atherstone, Nuneaton, and Warwickshire Times.",British Library Living with Machines Project,1881-10-08,1881,10,8,"Atherstone, Warwickshire, England",751,0.9321,1880
0003051,1103,art0009,The Warwickshire Herald.,British Library Living with Machines Project,1887-11-03,1887,11,3,"Birmingham, West Midlands, England",19,0.8353,1880
0003052,417,art0042,Blandford Weekly News.,British Library Living with Machines Project,1886-04-17,1886,4,17,"Blandford, Dorset, England",216,0.9722,1880
0002982,828,art0029,The Telegram.,British Library Living with Machines Project,1888-08-28,1888,8,28,"Weymouth, Dorset, England",174,0.6225,1880
0003086,1012,art0128,Irvine Express.,British Library Living with Machines Project,1883-10-12,1883,10,12,"Irvine, Strathclyde, Scotland",105,0.8766,1880
0003064,1125,art0033,The Halifax Comet.,British Library Living with Machines Project,1899-11-25,1899,11,25,"Halifax, West Yorkshire, England",206,0.978,1890
0003055,203,art0068,The Blandford and Wimbourne Telegram.,British Library Living with Machines Project,1882-02-03,1882,2,3,"Blandford, Dorset, England",41,0.8849,1880
0003053,1224,art0042,Weekly News.,British Library Living with Machines Project,1891-12-24,1891,12,24,"Blandford, Dorset, England",3,0.76,1890
0003034,815,art0018,The Herald of Wales and Monmouthshire Recorder.,British Library Living with Machines Project,1885-08-15,1885,8,15,"Swansea, West Glamorgan, Wales",506,0.8005,1880
0002601,803,art0017,Widnes Examiner.,British Library Living with Machines Project,1889-08-03,1889,8,3,"Widnes, Cheshire, England",8693,0.6896,1880
0003039,611,art0038,The Northern Guardian.,British Library Living with Machines Project,1897-06-11,1897,6,11,"Hartlepool, Cleveland, England",138,0.9073,1890
0003040,122,art0028,The Birkenhead News and Wirral General Advertiser.,British Library Living with Machines Project,1890-01-22,1890,1,22,"Birkenhead, Merseyside, England",20,0.543,1890
0003047,610,art0067,Lancaster Standard and County Advertiser.,British Library Living with Machines Project,1898-06-10,1898,6,10,"Lancaster, Lancashire, England",6469,0.6883,1890
0002596,1101,art0045,The Cotton Factory Times.,British Library Living with Machines Project,1895-11-01,1895,11,1,"Manchester, Greater Manchester, England",1029,0.9709,1890
0002974,809,art0003,"The Stourbridge Observer, Cradley Heath, Halesowen & District Chronicle.",British Library Living with Machines Project,1884-08-09,1884,8,9,"Stourbridge, West Midlands, England",5,0.762,1880
0002978,1125,art0065,The North Cumberland Reformer.,British Library Living with Machines Project,1893-11-25,1893,11,25,"Carlisle, Cumbria, England",1046,0.9841,1890
0003037,806,art0004,The Blackpool Herald.,British Library Living with Machines Project,1880-08-06,1880,8,6,"Blackpool, Lancashire, England",63,0.8984,1880
0002982,522,art0052,The Telegram.,British Library Living with Machines Project,1894-05-22,1894,5,22,"Weymouth, Dorset, England",324,0.9101,1890
0003040,626,art0067,The Birkenhead News and Wirral General Advertiser.,British Library Living with Machines Project,1880-06-26,1880,6,26,"Birkenhead, Merseyside, England",5,0.96,1880
0002982,602,art0072,The Telegram.,British Library Living with Machines Project,1891-06-02,1891,6,2,"Weymouth, Dorset, England",1439,0.4912,1890
0003077,902,art0004,"Nelson Chronicle, Colne Observer, and Clitheroe Division News.",British Library Living with Machines Project,1898-09-02,1898,9,2,"Nelson, Lancashire, England",55,0.7667,1890
0003040,729,art0021,The Birkenhead News and Wirral General Advertiser.,British Library Living with Machines Project,1893-07-29,1893,7,29,"Birkenhead, Merseyside, England",3677,0.9529,1890
0003077,729,art0037,"Nelson Chronicle, Colne Observer, and Clitheroe Division News.",British Library Living with Machines Project,1898-07-29,1898,7,29,"Nelson, Lancashire, England",391,0.6414,1890
0002974,721,art0008,"The Stourbridge Observer, Cradley Heath, Halesowen & District Chronicle.",British Library Living with Machines Project,1883-07-21,1883,7,21,"Stourbridge, West Midlands, England",48,0.8829,1880
0002620,1218,art0045,"Denton and Haughton Examiner, etc.",British Library Living with Machines Project,1880-12-18,1880,12,18,"Denton, Greater Manchester, England",577,0.9018,1880
0003039,706,art0034,The Northern Guardian.,British Library Living with Machines Project,1892-07-06,1892,7,6,"Hartlepool, Cleveland, England",708,0.9774,1890
0002601,409,art0059,Widnes Examiner.,British Library Living with Machines Project,1881-04-09,1881,4,9,"Widnes, Cheshire, England",517,0.9723,1880
0003077,214,art0017,"Nelson Chronicle, Colne Observer, and Clitheroe Division News.",British Library Living with Machines Project,1890-02-14,1890,2,14,"Nelson, Lancashire, England",13,0.9446,1890
0002979,829,art0103,The Northern News.,British Library Living with Machines Project,1896-08-29,1896,8,29,"Carlisle, Cumbria, England",230,0.9215,1890
0003064,1126,art0053,The Halifax Comet.,British Library Living with Machines Project,1898-11-26,1898,11,26,"Halifax, West Yorkshire, England",12,0.9733,1890
0003035,1012,art0089,The Herald of Wales.,British Library Living with Machines Project,1889-10-12,1889,10,12,"Swansea, West Glamorgan, Wales",47,0.8815,1880
0003035,330,art0106,The Herald of Wales.,British Library Living with Machines Project,1889-03-30,1889,3,30,"Swansea, West Glamorgan, Wales",823,0.6574,1880
0003055,310,art0016,The Blandford and Wimbourne Telegram.,British Library Living with Machines Project,1882-03-10,1882,3,10,"Blandford, Dorset, England",20,0.9245,1880
0003074,818,art0028,The North-Eastern Weekly Gazette.,British Library Living with Machines Project,1894-08-18,1894,8,18,"Stockton-on-Tees, Cleveland, England",78,0.581,1890
0003039,404,art0029,The Northern Guardian.,British Library Living with Machines Project,1898-04-04,1898,4,4,"Hartlepool, Cleveland, England",292,0.8255,1890
0003074,929,art0105,The North-Eastern Weekly Gazette.,British Library Living with Machines Project,1883-09-29,1883,9,29,"Stockton-on-Tees, Cleveland, England",4,0.9425,1880
0003059,310,art0009,Bridlington and Quay Gazette.,British Library Living with Machines Project,1899-03-10,1899,3,10,"Bridlington, Humberside, England",9,0.4622,1890
0003045,202,art0113,"The Atherstone, Nuneaton, and Warwickshire Times.",British Library Living with Machines Project,1889-02-02,1889,2,2,"Atherstone, Warwickshire, England",107,0.9594,1880
0003040,318,art0027,The Birkenhead News and Wirral General Advertiser.,British Library Living with Machines Project,1885-03-18,1885,3,18,"Birkenhead, Merseyside, England",1334,0.9467,1880
0003061,103,art0056,Brighouse & Rastrick Gazette.,British Library Living with Machines Project,1880-01-03,1880,1,3,"Brighouse, West Yorkshire, England",434,0.9412,1880
0003037,616,art0017,The Blackpool Herald.,British Library Living with Machines Project,1882-06-16,1882,6,16,"Blackpool, Lancashire, England",94,0.9354,1880
0003045,1005,art0012,"The Atherstone, Nuneaton, and Warwickshire Times.",British Library Living with Machines Project,1889-10-05,1889,10,5,"Atherstone, Warwickshire, England",18,0.9433,1880
0003059,402,art0009,Bridlington and Quay Gazette.,British Library Living with Machines Project,1897-04-02,1897,4,2,"Bridlington, Humberside, England",116,0.8528,1890
0003047,1130,art0115,Lancaster Standard and County Advertiser.,British Library Living with Machines Project,1894-11-30,1894,11,30,"Lancaster, Lancashire, England",174,0.7834,1890
0003061,501,art0027,Brighouse & Rastrick Gazette.,British Library Living with Machines Project,1886-05-01,1886,5,1,"Brighouse, West Yorkshire, England",415,0.922,1880
0003079,121,art0060,"Penistone, Stocksbridge, Hoyland and Ecclesfield & Chapeltown Express.",British Library Living with Machines Project,1898-01-21,1898,1,21,"Penistone, South Yorkshire, England",1639,0.6308,1890
0003082,521,art0045,"The Pontypridd District Herald and Rhondda Valley, Llantrisant, Caerphilly, and Mountain Ash News.",British Library Living with Machines Project,1892-05-21,1892,5,21,"Pontypridd, Mid Glamorgan, Wales",115,0.9175,1890
0003039,325,art0070,The Northern Guardian.,British Library Living with Machines Project,1892-03-25,1892,3,25,"Hartlepool, Cleveland, England",70,0.995,1890
0003037,1111,art0005,The Blackpool Herald.,British Library Living with Machines Project,1881-11-11,1881,11,11,"Blackpool, Lancashire, England",2,0.915,1880
0002982,524,art0013,The Telegram.,British Library Living with Machines Project,1887-05-24,1887,5,24,"Weymouth, Dorset, England",240,0.6163,1880
0003077,615,art0117,"Nelson Chronicle, Colne Observer, and Clitheroe Division News.",British Library Living with Machines Project,1900-06-15,1900,6,15,"Nelson, Lancashire, England",66,0.9432,1900
0003087,813,art0056,Irvine Express and North Ayrshire Post.,British Library Living with Machines Project,1886-08-13,1886,8,13,"Irvine, Strathclyde, Scotland",155,0.6705,1880
0002978,521,art0094,The North Cumberland Reformer.,British Library Living with Machines Project,1891-05-21,1891,5,21,"Carlisle, Cumbria, England",523,0.9556,1890
0003075,715,art0010,Northern Weekly Gazette.,British Library Living with Machines Project,1899-07-15,1899,7,15,"Stockton-on-Tees, Cleveland, England",21,0.7152,1890
0003042,317,art0076,The Barrow Herald and Furness Advertiser.,British Library Living with Machines Project,1883-03-17,1883,3,17,"Barrow-in-Furness, Cumbria, England",1,0.71,1880
0003064,423,art0051,The Halifax Comet.,British Library Living with Machines Project,1898-04-23,1898,4,23,"Halifax, West Yorkshire, England",869,0.9861,1890
0002977,1204,art0096,"Swansea and Glamorgan Herald, and South Wales Free Press.",British Library Living with Machines Project,1889-12-04,1889,12,4,"Swansea, West Glamorgan, Wales",219,0.95,1880
0002596,415,art0109,The Cotton Factory Times.,British Library Living with Machines Project,1892-04-15,1892,4,15,"Manchester, Greater Manchester, England",80,0.8807,1890
0003037,120,art0103,The Blackpool Herald.,British Library Living with Machines Project,1888-01-20,1888,1,20,"Blackpool, Lancashire, England",164,0.9422,1880
