Title,Alternate title,Genre,Primary Source Verification,Notes,Production Company,Production date,Distribution date,Length (reels),Actors,Directors,Producers,Camerawork,Attachments,Source,Writer,Otherwise Involved,Link to media,Distributor,Producers (Full Name),Actors (Full Name),Directors (Full Name),Otherwise Involved (Full Name),Writer (Full Name),Camerawork (Full Name)
YMCA Dedication,,Actuality,,"Unable to verify. --MP

",Foster Photoplay Company,1913,1913,,"Marshall,Washington ",Foster,Foster,Foster,,The Ambitions of William Foster,,,,,William Foster,"John Marshall, Booker T. Washington ",William Foster,,,William Foster
A Review of the B.M.C. and Colored Business World,,Newsreel,,unable to verify- MC,Hunter C. Haynes Photoplay Company,1914,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
Dandy Jim's Dream,,,,"St. Louis Post-Dispatch
St. Louis, Missouri
Sun, Aug 2, 1891 ' Page 13",Afro-American Film Company,1914,1914,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
Darktown Jubilee,,Comedy,Darktown_Jubilee.pdf (https://dl.airtable.com/p8BFZuKMSLuuzj630HYg_Darktown_Jubilee.pdf),"""Reportedly caused a race riot in Brooklyn"" (Richards). --MP",,1914,1914,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
Haynes Newsreel No. 1,,Newsreel,,,Hunter C. Haynes Photoplay Company,1914,,,"Langford,Walcott",Haynes,Haynes,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,Hunter Haynes,"Sam Langford, Joe Walcott",Hunter Haynes,,,
Lovie Joe's Romance,Lovey Joe's Romance,Comedy,,"Unable to verify, but found reference to an article in Indianapolis Freeman, March 28, 1914. --MP",Afro-American Film Company,1914,,,"Kelly,Wiley,Carter",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,"Robert A. Kelly, Stella Wiley, Bruxton Carter",,,,
Mandy's Choice,,Comedy,out (7).pdf (https://dl.airtable.com/TqVirwUMQ6G32gN64WjQ_out%20(7).pdf),"Langston, Tony. ""REVIEW OF THE THEATERS."" The Chicago Defender (Big Weekend Edition) (1905-1966), May 16, 1914.

",Afro-American Film Company,1914,,,"Gilpin,Harper,Green ",,Haynes,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,Hunter Haynes,"Charles Gilpin, Billy Harper, Sarah Green ",,,,
Slim-the-Cow-Puncher,,,,Unable to verify-MC,Al Bartlett Film Manufacturing Company,1914,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
The Troubles of Sambo and Dinah,,Comedy,out (18).pdf (https://dl.airtable.com/IteOAOgpQ4qB8P40nJnB_out%20(18).pdf),"""THE STATES."" The Chicago Defender (Big Weekend Edition) (1905-1966), Jun 20, 1914.

Kahana gives the date as 1918, but contemporary newspapers advertise a Peter P. Jones film by this name in 1914. --MP",Peter P. Jones Photoplay Ltd.,1914,1914,7,"Marshall ,Fletcher,Lemonier,Riddley,Watson",Jones,Jones,Jones,,The Documentary Film Reader,,,,,Peter P. Jones,"Matt Marshall , Ethel Fletcher, Tom Lemonier, Effie Riddley, Earl Watson",Peter P. Jones,,,Peter P. Jones
Uncle Remus' First Visit to New York,,Comedy,,Unable to verify,Hunter C. Haynes Photoplay Company,1914,,2,"Jones,Jones,Brown,Harris,Mitchell,Gilliam,Harper,Williams,Morton,Anderson,Anderson",Haynes,Haynes,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,Hunter Haynes,"Wesley Jones, Maud Jones, Tom Brown, Leorine Harris, Abbie Mitchell, Allie Gilliam, Billy Harper, Leon Williams, Edna Morton, Charles H. Anderson, Mrs. Charles H. Anderson",Hunter Haynes,,,
The Colored Championship Base Ball Game,Andrew ���Rube��� Foster and the Chicago American Giants,Actuality,,Unable to Verify - SN,Foster Photoplay Company,9/1/1914,11914,,Foster,Foster,Foster,,,"The Ambitions of William Foster,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,William Foster,"Andrew ""Rube"" Foster",William Foster,,,
Cephas Returns,,Drama,,Unable to verify - SN,Hampton Institute,11915,,,Miner,,"Folsom,Miner",,,Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,,,,,"Cora Mae Folsom, Leigh Richmond Miner",Leigh Richmond Miner,,,,
Lincoln Jubilee,,Actuality,out (16).pdf (https://dl.airtable.com/PQSx2dS5i1CH6ePmBSBg_out%20(16).pdf),"""Display Ad 13 -- no Title."" The Chicago Defender (Big Weekend Edition) (1905-1966), Nov 20, 1915.",Peter P. Jones Photoplay Ltd.,1915,11915,,,,,,,,,,,,,,,,,
Making Negro Lives Count,,Actuality,outlook.png (https://dl.airtable.com/18nuE5DTvy05UHFNtlLn_outlook.png),"The Outlook (New York), May 12, 1915, p. 56.

",Hampton Institute,1915,1/30/1915,,,,,"Bock,Miner",,Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,,,,,,,,,,"Leo Bock, Leigh Richmond Miner"
Progress of the Negro,50 Years of Freedom,,"out (17).pdf (https://dl.airtable.com/hPixiOyTUaMu2p2uCDQ3_out%20(17).pdf),img?id=5262759&width=557&height=1184&crop=1439_1251_463_1003&rotation=0&brightness=0&contrast=0&invert=0&ts=1463615314&h=fd33583d97962c2b5a8b779169fd0f54 (https://dl.airtable.com/UwkEqSyxRTCaPKX2UQxr_img%3Fid%3D5262759%26width%3D557%26height%3D1184%26crop%3D1439_1251_463_1003%26rotation%3D0%26brightness%3D0%26contrast%3D0%26invert%3D0%26ts%3D1463615314%26h%3Dfd33583d97962c2b5a8b779169fd0f54)","""Display Ad 18 -- no Title."" The Chicago Defender (Big Weekend Edition) (1905-1966), Oct 02, 1915. --MP

Sampson gives the date as 1916, but I believe he's referring to this film, which was released in 1915. --MP

Clipping- Delaware County Daily Times, 27 Feb 1915, Sat, Page 1",Peter P. Jones Photoplay Ltd.,1915,10/1/1915,,,Jones,Jones,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,Peter P. Jones,,Peter P. Jones,,,
Sleepy Sam the Sleuth,,Comedy,,"A ""local talent"" film, meaning footage of local people was intercut with stock footage as Norman traveled the country. (See Lupack, 44-45). View one version of the film: https://www.youtube.com/watch?v=AhRzofVope8.",Norman Film Manufacturing Company,1915,,,,Norman,Norman,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Richard E. Norman and Race Filmmaking",,,http://www.loc.gov/pictures/item/2013647035/,,Richard E. Norman,,Richard E. Norman,,,
The New Era,,,,Unable to verify,Hampton Institute,1915,,,,,"Folsom,Miner",,,,,,,,"Cora Mae Folsom, Leigh Richmond Miner",,,,,
When True Love Wins,,Drama,clipping_5299612.pdf (https://dl.airtable.com/QipDA9KuS0awqsroQJUh_clipping_5299612.pdf),"The New York Age (New York, New York) 30 Sep 1915, Thu ' Page 1",Southern Motion Picture Company,1915,1915,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Forgeries of Memory and Meaning: Blacks and the Regimes of Race in American Theater and Film Before World War II",Fisher,,,,,,,,Isaac Fisher,
Aladdin Jones,,Comedy,"out(1).pdf (https://dl.airtable.com/GtnK7dBlTuyD82OyP9FI_out(1).pdf),out(2).pdf (https://dl.airtable.com/utQbiIjMQOOKH2Q1TU0k_out(2).pdf)","The Chicago Defender (Big Weekend Edition) (1905-1966) [Chicago, Ill] 01 July 1916: 4; Afro-American (1893-1988) [Baltimore, Md] 29 May 1915: 5.",Ebony Film Corporation,2/6/1915,,,"Montgomery,Murphy,McClain,Marshall",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,"Frank Montgomery, Bert Murphy, Florence McClain, Jimmy Marshall",,,,
Colored Elks Parade,,Actuality,,"Unable to Verify 

",Brotherhood of Elks,1916,1916,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
Colored Soldiers Fighting in Mexico,,Newsreel,,Unable to verify. --MP,Peter P. Jones Photoplay Ltd.,1916,1916,,,Jones,Jones,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,Peter P. Jones,,Peter P. Jones,,,
Eddie Green's Rehearsal,,Comedy,,Unable to verify,,1916,1916,,Green,Green,Green,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,Eddie Green,Eddie Green,Eddie Green,,,
Fish,,Comedy,,Unable to Verify,,1916,1916,1,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,General Film Company,,,,,,
Haynes Newsreel No. 2,,Newsreel,,,Hunter C. Haynes Photoplay Company,1916,,,,Haynes,Haynes,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,Hunter Haynes,,Hunter Haynes,,,
Re-Birth of a Nation,,,,,Peter P. Jones Photoplay Ltd.,1916,,,,Jones,Jones,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,Peter P. Jones,,Peter P. Jones,,,
Shadowed by the Devil,,Drama,"out.pdf (https://dl.airtable.com/TL25F5ArTCWCkaIxuoNJ_out.pdf),out(1).pdf (https://dl.airtable.com/1Xcu9KzKRcGGhVdTlC8S_out(1).pdf),out(2).pdf (https://dl.airtable.com/qDm5yZsSQ4a0ar07pkuU_out(2).pdf),out(3).pdf (https://dl.airtable.com/CG7Iu6IQ6yJxUgLgeZYc_out(3).pdf)","B53, F28, GPJ Collection

The Chicago Defender (Big Weekend Edition) (1905-1966) [Chicago, Ill] 20 Nov 1915: 5; The Chicago Defender (Big Weekend Edition) (1905-1966) [Chicago, Ill] 13 Nov 1915: 6.; Afro-American (1893-1988) [Baltimore, Md] 12 Aug 1916: 8; The Chicago Defender (Big Weekend Edition) (1905-1966) [Chicago, Ill] 20 Nov 1915: 5
",Unique Film Company,1916,,3,"Fletcher,Mills",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",George P. Johnson Negro Film Collection",Webb,,,,,"Oroville Fletcher, Gertrude Mills",,,M.M. Webb,
The Barber,,Comedy,out (15).pdf (https://dl.airtable.com/dCJqbHltQBqLL396XySf_out%20(15).pdf),"Verification: Jones, J. (1916, Aug 05). THE BARBER. The Chicago Defender (Big Weekend Edition) (1905-1966) Retrieved from http://search.proquest.com/docview/493347666?accountid=14512

""Scenario published in the Defender August 5, 1916, p. 10."" (Field 2016).",Foster Photoplay Company,1916,,,"Holt,Kelly,Harris,Arnold,Joynes,Lillison",Foster,Foster,,,The Ambitions of William Foster,Foster,,,,William Foster,"Anna Holt, Howard Kelly, Stella Harris, Sam Arnold, Elvin Joynes, Edgar Lillison",William Foster,,William Foster,
The Colored American Winning His Suit,,Drama,out (21).pdf (https://dl.airtable.com/p9pYWGbuTb6GC4d86rHE_out%20(21).pdf),"Verification: Among the movies. (1916, Dec 02). The Chicago Defender (Big Weekend Edition) (1905-1966) Retrieved from http://search.proquest.com/docview/493268225?accountid=14512

Cast list from Richards. --MP��

Discrepancy: Sampson gives the production date as 1919 (p. 95). --MP",Frederick Douglass Film Company,1916,1916,5,"Mosley,Askins,Snead,Davis,King,Leighton,Snead,Snead",,,,,"The Ambitions of William Foster,Slow Fade to Black,""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Frame by Frame: A Black Filmography (Part 1),Blacks in Black and White",,,,,,"Thomas M. Mosley, Ida Askins, Florence Snead, Marshall Davis, F. King, Fred Leighton, Edgar Snead, Mrs. E. Snead",,,,
The Realization of a Negro's Ambition,,,out (8).pdf (https://dl.airtable.com/TXKx9RTTNKtz2DLXOoSj_out%20(8).pdf),The Chicago Defender,Lincoln Motion Picture Company,1916,,2,"Johnson,Brooks,Hall,Boles",Johnson,Johnson,Gant,,"Redefining Black Film,Blacks in Black and White",,,,,George Johnson,"Noble Johnson, Clarence Brooks, Beulah Hall, Lottie Boles",Noble Johnson,,,Harry Gant
The Tango Queen,,,The_Courier_Journal_Thu__Oct_21__1915_.pdf (https://dl.airtable.com/slfsnWu8QPC40dM7kkAP_The_Courier_Journal_Thu__Oct_21__1915_.pdf),"The Courier-Journal (Louisville, Kentucky), Thu, Oct 21, 1915, Page 4",Afro-American Film Company,1916,,,,Haynes,Haynes,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,Hunter Haynes,,Hunter Haynes,,,
The Trooper of Company K,Trooper of Troop K,"Western,Drama","out (44).pdf (https://dl.airtable.com/Z2PfVTOaSFCUJuqENx6X_out%20(44).pdf),The_Kansas_City_Sun_Sat__Apr_28__1917_.pdf (https://dl.airtable.com/xRNrJyI1QLeR5IRiPeXJ_The_Kansas_City_Sun_Sat__Apr_28__1917_.pdf)","Josephs, M. ""WHAT THEY SAY."" The Chicago Defender (Big Weekend Edition) (1905-1966), Nov 11, 1916.

The Kansas City Sun (Kansas City, Missouri), Sat, Apr 28, 1917, Page 5

Also cast ""Mexican soldiers and former Ninth and Tenth U.S. Cavalrymen""",Lincoln Motion Picture Company,1916,11916,,"Johnson,Hall,Smith",Johnson,Johnson,Gant,,"Redefining Black Film,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",Langston,,,,George Johnson,"Noble Johnson, Beulah Hall, Jimmie Smith",Noble Johnson,,Tony Langston,Harry Gant
Turpin's Real Reels,,Actuality,,Unable to verify,Charles H. Turpin,1916,1916,,,Turpin,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,Charles H. Turpin,,,
With the Help of Uncle Eben,,Comedy,clipping_5299997.pdf (https://dl.airtable.com/jHlfpPzISVaN1ZacFZLc_clipping_5299997.pdf),"The Appeal (Saint Paul, Minnesota), Sat, Sep 9, 1916, First Edition, Page 4",Afro-American Film Company,1916,1916,,"Trice,Owens",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,"L. Trice, Eugene Owens",,,,
Booker T. Washington's Industrial School,,Actuality,,Unable to verify as a moving picture but lots on Booker T. Washington and the school itself - SN,,1917,1917,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
Dat Blackhand Waitah Man,,Comedy,motionpicturenew162unse_0868.jpg (https://dl.airtable.com/GvUSxVP7QhSZAVJ35CW9_motionpicturenew162unse_0868.jpg),"Motion Picture News, 16:3 (Sept. 29, 1917), 2216.

",Ebony Film Corporation,1917,1917,,"Robinson,Jacks,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,"Sam Robinson, Samuel Jacks, Will Starks, Julia Mason, Bert Murphy, Evon Skekeeter, Mildred Price, Walter Brogsdale, Robert Duree",,,,
Do Children Count,,,out (10).pdf (https://dl.airtable.com/8JjOvQIRaqMKVsraMTSz_out%20(10).pdf),Display Ad 7 -- no Title. ,,1917,,,,,,,,,,,,,,,,,,
Ghosts,,,,Unable to verify,Ebony Film Corporation,1917,,2,"Robinson,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree,Pollard,Junior",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,"Sam Robinson, Will Starks, Julia Mason, Bert Murphy, Evon Skekeeter, Mildred Price, Walter Brogsdale, Robert Duree, Frank Pollard, Yvonne Junior",,,,
Haynes Newsreel No. 3,,Newsreel,,,Hunter C. Haynes Photoplay Company,1917,,,"Langford,Walcott",Haynes,Haynes,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,Hunter Haynes,"Sam Langford, Joe Walcott",Hunter Haynes,,,
Shine Johnson and the Rabbit Foot,,Comedy,motionpicturenew153unse_0560.jpg (https://dl.airtable.com/cWyd4R7fTLilR3FIGckK_motionpicturenew153unse_0560.jpg),"Motion Picture News Apr-Jun 1917

-MC",Ebony Film Corporation,1917,,1,"Robinson,Jacks,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree,Pollard",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,General Film Company,,"Sam Robinson, Samuel Jacks, Will Starks, Julia Mason, Bert Murphy, Evon Skekeeter, Mildred Price, Walter Brogsdale, Robert Duree, Frank Pollard",,,,
Spooks,,,"clipping_5275655.pdf (https://dl.airtable.com/o5PcnqYRLmYzxGaN4LnZ_clipping_5275655.pdf),clipping_5275670.pdf (https://dl.airtable.com/IoS1FZ7fQ2yfaAepMdiU_clipping_5275670.pdf),clipping_5275686.pdf (https://dl.airtable.com/DxN4QboaSzyWOaaBBcs5_clipping_5275686.pdf),out(14).pdf (https://dl.airtable.com/neqJeZc4TlWOEPX5seA0_out(14).pdf),out(15).pdf (https://dl.airtable.com/YX7RuE9BQMSQU0hbDyTt_out(15).pdf)"," Arizona Republic
(Phoenix, Arizona)
1 Sep 1918, Sun ' Page 2;  Arizona Daily Star
(Tucson, Arizona)
6 Dec 1918, Fri ' Main Edition ' Page 2;  Roseburg Review
(Roseburg, Oregon)
3 Dec 1918, Tue ' Page 2; The Chicago Defender (Big Weekend Edition) (1905-1966) [Chicago, Ill] 22 June 1918:; The Chicago Defender (Big Weekend Edition) (1905-1966) [Chicago, Ill] 15 June 1918: 13",Ebony Film Corporation,1917,1918,,,,,,,Richard E. Norman and Race Filmmaking,,,,,,,,,,
The Bar Sinister,,Drama,out (14).pdf (https://dl.airtable.com/xfaxPiZTxqxTS5T9dXgA_out%20(14).pdf),"Verification: Display ad 8 -- no title. (1918, Feb 09). Afro-American (1893-1988) Retrieved from http://search.proquest.com/docview/530424404?accountid=14512��

",Frank Hall Production,1917,1917,,,,Lewis,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Frame by Frame: A Black Filmography (Part 1)",,,,,Edgar Lewis,,,,,
The Law of Nature,,Drama,,"Cast list comes from Sampson, 31. --MP

Review in the Chicago Defender, 7/17/17

A beautiful eastern society girl is the governess of the children of a wealthy ",Lincoln Motion Picture Company,1917,1917,3,"Johnson,Pickens,Brooks,Everett,Clements,White,Saunders,Richardson",Johnson,Johnson,Gant,,"Richard E. Norman and Race Filmmaking,Blacks in Black and White,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,George Johnson,"Noble Johnson, Albertine Pickens, Clarence Brooks, Estelle Everett, Stebeno Clements, Frank White, Elsworth Saunders, Sallie Richardson",George Johnson,,,Harry Gant
The Slacker,The Slaver,Drama,out (15).pdf (https://dl.airtable.com/IMs7bkPSga6oU3NDlrrV_out%20(15).pdf),"""Display Ad 11 -- no Title."" The Chicago Defender (Big Weekend Edition) (1905-1966), Jun 23, 1917",Peter P. Jones Photoplay Ltd.,1917,,,,Jones,Jones,Jones,,"The Documentary Film Reader,Forgeries of Memory and Meaning: Blacks and the Regimes of Race in American Theater and Film Before World War II",,,,,Peter P. Jones,,Peter P. Jones,,,Peter P. Jones
When Good Luck Comes Our Way,,,,,William Deans,1917,1917,,Deans,,Deans,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,William Deans,William Deans,,,,
Wrong All Around,,Comedy,Screen Shot 2016-05-18 at 2.48.20 PM.png (https://dl.airtable.com/CeDJFc8dTyKittmND3xM_Screen%20Shot%202016-05-18%20at%202.48.20%20PM.png),"Sampson lists this as an RCM Production, but this appears to be an Ebony comedy. See Moving Picture World, March 23, 1918, p. 1722. (This is also the title of a 1914 Essanay drama.) --MP",Ebony Film Corporation,1917,,1,"Robinson,Jacks,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree,Pollard",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,"Sam Robinson, Samuel Jacks, Will Starks, Julia Mason, Bert Murphy, Evon Skekeeter, Mildred Price, Walter Brogsdale, Robert Duree, Frank Pollard",,,,
The Accidental Ruler,,,out (14).pdf (https://dl.airtable.com/9q5vLVCFQZKgpGRPmqq1_out%20(14).pdf),"""Display Ad 4 -- no Title."" The Chicago Defender (Big Weekend Edition) (1905-1966), Sep 01, 1917",Peter P. Jones Photoplay Ltd.,9/1/1917,,,"George,Burton-Hyman,Perrin",,,,,,,,,,,"Frank P. George, Marie Burton-Hyman, Sidney Perrin",,,,
