LN,FN,Full name,AKA,DOB,DOD,Notes,Attachments,Films (Appeared in),Films (Directed),Films (Produced),Films (Camerawork),Source,Films (Otherwise Involved),Prodctn Comp. Associated With,Theatrical Company Assoc. With,Films
Birdsong,Amy,Amy Birdsong,,,,,,Marcus Garland,,,,,,,,
Bishop,Andrew S.,Andrew S. Bishop,,,,,,"Temptation,A Son of Satan,The House Behind the Cedars",,,,"Slow Fade to Black,Oscar Micheaux and His Circle",,,Lafayette Players,
Blake,Eubie,Eubie Blake,,,,,,Sissle and Blake,Snappy Tunes,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Blanton,L.D.,L.D. Blanton,,,,"Editor for McFall Film Production Company, per Sampson (77). --MP",,,,,,Blacks in Black and White,,McFall Film Production Company,,
Bock,Leo,Leo Bock,,,,,,,,,Making Negro Lives Count,Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,,,,
Boles,Lottie,Lottie Boles,,,,,,The Realization of a Negro's Ambition,,,,Blacks in Black and White,,,,
Bowen,Henderson,Henderson Bowen,,,,,,Chicago's Business Activities and Scenes along State Street/Chicago Businesses and Secret Orders,,,,The Ambitions of William Foster,,,,
Bowman,Laura,Laura Bowman,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Brute,,,,Oscar Micheaux and His Circle,,,Lafayette Players,
Boyd,Kathryn,Kathryn Boyd,,,,http://www.normanstudios.org/norman-films-stars/norman-players/kathryn-boyd/,,"The Flying Ace,Black Gold",,,,,,,,
Boyer,Elizabeth,Elizabeth Boyer,,,,,,"The Sport of the Gods,Shuffling Jane",,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,
Bracken,Vera,Vera Bracken,,,,"Mentioned in Musser et al.'s Micheaux filmography, in Bowser et al., Oscar Micheaux and His Circle. --MP",,The Millionaire,,,,Oscar Micheaux and His Circle,,,,
Bradford,I.D.,I.D. Bradford,,,,,,The Fall of the Mighty,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Bristol,W.E.,W.E. Bristol,,,,"According to Sampson, was pres of Ebony Film Corp. --MP",,,,,,Blacks in Black and White,,Ebony Film Corporation,,
Brogsdale,Walter,Walter Brogsdale,,,,,,"Are Working Girls Safe?,A Black and Tan Mix-Up,A Black Sherlock Holmes,The Bully,The Comeback of Barnacle Bill,Dat Blackhand Waitah Man,Devil for a Day,Do the Dead Talk?,Fixing the Faker,The Porters,A Reckless Rover,Shine Johnson and the Rabbit Foot,When Cupid Went Wild,When You Are Scared Run,When You Hit Hit Hard,Wrong All Around,The Janitor,Ghosts,Good Luck in Old Clothes",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Brooks,Clarence,Clarence Brooks,,1895,1969,"GPJ Collection, box 52, folder 9. --mp",,"The Realization of a Negro's Ambition,A Man's Duty,Absent,Arrowsmith,The Law of Nature,Welcome Strangers,By Right of Birth,Harlem Rides The Range,Georgia Rose",,,,"Envisioning Freedom: Cinema and the Building of Modern Black Life,Blacks in Black and White,George P. Johnson Negro Film Collection",,Lincoln Motion Picture Company,,
Brooks,Dudley A.,Dudley A. Brooks,,,,"Treasurer of Lincoln MPC, per Sampson. --MP",,,,,,Blacks in Black and White,,Lincoln Motion Picture Company,,
Brooks,Lucius,Lucius Brooks,,,,,,Harlem Rides The Range,,,,Blacks in Black and White,,,,
Brooks,Shelton,Shelton Brooks,,,,,,Gayety,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Brooks,Eunice,Eunice Brooks,,,,,,The Exile,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Broome,George,George Broome,,,,"Arranged with Booker T. Washington to shoot films of the Tuskegee Institute, maintaining the rights to the films. See Field, 84. --MP",,,A Trip to Tuskegee,A Trip to Tuskegee,,Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,,George W. Broome Exhibition Company,,
Bowser,Aubrey,Aubrey Bowser,Aubrey Brower,,,"The Call of His People is based on Bowser's novel, per Peterson. --MP",,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",The Call of His People,,,
Brown,Kid,Kid Brown,,,,,,"The Railroad Porter,The Grafter and the Maid,The Railroad Porter",,,,Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,,,,
Brown,George Edward,George Edward Brown,,,,,,"The Sport of the Gods,The Call of His People,The Secret Sorrow,Spitfire,The Schemers",,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,
Brown,Lucille,Lucille Brown,,,,,,The Sport of the Gods,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,
Brown,J.C.,J.C. Brown,,,,"Per Peterson, author of story on which The Secret Story is based. --MP",,,,,,,The Secret Sorrow,,,
Brown,J. Rufus,J. Rufus Brown,,,,Author of the story on which Easy Money is based (Peterson). --MP,,,,,,,Easy Money,,,
Brown,Tom,Tom Brown,,,,,,Uncle Remus' First Visit to New York,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Brown,Jerry,Jerry Brown,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Brown,N.,N. Brown,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Brown,Edward,Edward Brown,Eddie Brown,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Gunsaulus Mystery,,,,Oscar Micheaux and His Circle,,,,
Brown,Margaret,Margaret Brown,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,A Son of Satan,,,,Oscar Micheaux and His Circle,,,,
Brown,Frank,Frank Brown,,,,,,Why Worry?,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Blacks in Black and White",,,,
Brown,Roberta,Roberta Brown,,,,,,The Midnight Ace,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Brown,Everett,Everett Brown,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Brown ,R.L.,R.L. Brown ,,,,,,"The Flying Ace,Regeneration,Black Gold",,,,,,,,
Bruckner,August,August Bruckner,,,,,,,Samba,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Burns,Sandy,Sandy Burns,,,,"GPJ, His Great Chance Folder, Box 19. --MP

The New York Age (New York, New York) �� Sat, May 12, 1923 �� Page 6 --MP",,His Great Chance,,,,George P. Johnson Negro Film Collection,,,,
Burns,Fannette,Fannette Burns,,,,"GPJ Collection, Box 19, His Great Chance Folder. --MP",,His Great Chance,,,,George P. Johnson Negro Film Collection,,,,
Burris,Jim,Jim Burris,,1878,6/8/1923,"GPJ Collection, Box 50, folder 16, New York News, June 9, 1923",,"The Sport of the Gods,The Symbol of the Unconquered",,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926"",George P. Johnson Negro Film Collection",,,,
Burroughs,James,James Burroughs,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Symbol of the Unconquered,,,,Oscar Micheaux and His Circle,,,,
Burton,Russell A.,Russell A. Burton,,,,,,,,"A Daughter of the Congo,Easy Street",,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Burton,John,John Burton,,,,,,The Flames of Wrath,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Burton-Hyman,Marie,Marie Burton-Hyman,,,,"Appearance in The Accidental Ruler: ""Display Ad 4 -- no Title."" The Chicago Defender (Big Weekend Edition) (1905-1966), Sep 01, 1917",,"The Accidental Ruler,The Grafter and the Maid",,,,Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,,,,
Burwell,Myra,Myra Burwell,,,,,,Ten Nights in a Bar-Room ,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Bush,Anita,Anita Bush,,,2/19/1974,http://www.normanstudios.org/norman-films-stars/norman-players/anita-bush/,,"The Bull-Dogger,The Crimson Skull",,,,Oscar Micheaux and His Circle,,,Lafayette Players,
Butler,William,William Butler,,,,,,The Flaming Crisis,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Bynum,W.C.,W.C. Bynum,,,,"Director for Eagle Film Company, per Sampson (77). --MP",,,,,,Blacks in Black and White,,Eagle Film Company,,
Byrd,Joe,Joe Byrd,,,,,,A Daughter of the Congo,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Byrd,Anthony,Anthony Byrd,,,,,,The Eyes of Mystery,,,,George P. Johnson Negro Film Collection,,,,
Byron,Lillian,Lillian Byron,,,,,,Dark and Cloudy,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Calnek,Roy,Roy Calnek,,,,,,,"Hearts of the Woods,A Prince of His Race,Ten Nights in a Bar-Room ,Children of Fate",Smiling Hate,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""","A Prince of His Race,Ten Nights in a Bar-Room ",,,
Carey,James,James Carey,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Carey,Sadie,Sadie Carey,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Carise,Erna,Erna Carise,,,,,,The Revue des Revues,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Carpenter,William,William Carpenter,,,,"In charge of sound department for Paragon Pictures, per Sampson. --MP",,,,,,Blacks in Black and White,,Paragon Pictures,,
Carrols,Vivian,Vivian Carrols,Vivian Quarles,,,,,A Modern Cain,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Blacks in Black and White",,,,
Carter,Barrington,Barrington Carter,Harington Garter,,,,,Thirty Years Later,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Carter,Frank,Frank Carter,,,,,,Foolish Lives,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Carter,Bruxton,Bruxton Carter,,,,,,Lovie Joe's Romance,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Cartlett,Big Sid,Big Sid Cartlett,,,,"Box 4, Boy What a Girl folder, GPJ collection",,Boy What a Girl,,,,George P. Johnson Negro Film Collection,,,,
Catlin,George,George Catlin,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Symbol of the Unconquered,,,,Oscar Micheaux and His Circle,,,,
Chatman,Frank,Frank Chatman,,,,,,Foolish Lives,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Chenault,Lawrence,Lawrence Chenault,,11/23/1877,,,,"The Burden of Race,Body and Soul,The Bull-Dogger,The Crimson Skull,Within Our Gates,The Scar of Shame,The Secret Sorrow,The Schemers,The Sport of the Gods,The Call of His People,Spitfire,Birthright,Children of Fate,The Devil's Disciple,The Brute,The Symbol of the Unconquered,The Gunsaulus Mystery,A Son of Satan,The House Behind the Cedars,The Conjure Woman,A Prince of His Race,Ten Nights in a Bar-Room ",,,,"""""""The burden of race""""""",,,,
Chenault,Jack,Jack Chenault,,,,,,Within Our Gates,,,,Oscar Micheaux and His Circle,,,,
Chesnutt,Charles,Charles Chesnutt,,,,"Author of novel on which The Conjure Woman was based. --MP

Author of ""Behind the Hills,"" story on which Deceit was based. --MP",,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""","The Conjure Woman,Deceit",,,
Chester,Slick,Slick Chester,,,,,,Temptation,,,,Slow Fade to Black,,,,
Chester,Marie,Marie Chester,,,,,,The Flaming Crisis,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Childers,Helen,Helen Childers,,,,,,By Right of Birth,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Chrisander,Nils Olaf,Nils Olaf Chrisander,,,,,,,Fighting Love,,,George P. Johnson Negro Film Collection,,,,
Christian,Hattie,Hattie Christian,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Gunsaulus Mystery,,,,Oscar Micheaux and His Circle,,,,
Clark,William H.,William H. Clark,,,,,,Chicago's Business Activities and Scenes along State Street/Chicago Businesses and Secret Orders,,,,The Ambitions of William Foster,,,,
Clayton,William,William Clayton,,1897,,,,"Smiling Hate,When Men Betray,Children of Fate,Easy Street,The Broken Violin,The Wages of Sin,A Prince of His Race,Ten Nights in a Bar-Room ",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Blacks in Black and White",,,,
Clements,Flo,Flo Clements,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,"Within Our Gates,The Brute",,,,Oscar Micheaux and His Circle,,,,
Clements,Stebeno,Stebeno Clements,,,,,,The Law of Nature,,,,Blacks in Black and White,,,,
Clifford,J. Williams,J. Williams Clifford,Lieut. J. Williams Clifford,,,,,,,A Day in the Nation's Capital,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Clifford,William H.,William H. Clifford,W.H. Clifford; Clifford Williams,1874,10/9/1938,,,,,,,,,William H. Clifford Photoplay Company,,
Clough,Inez,Inez Clough,,,,,,"The Secret Sorrow,Ties of Blood,The Simp,Easy Money",,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,Lafayette Players,
Cohen,Octavus,Octavus Cohen,,,,,,,,The Florian Slappey Series,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",Oft in the Silly Night,,,
Colbert,Frank,Frank Colbert,,,,,,The Flames of Wrath,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Coldwell,J.,J. Coldwell,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Cole,Celeste,Celeste Cole,,,,,,The Exile,,,,George P. Johnson Negro Film Collection,,,,
Coleman,Ronald,Ronald Coleman,,,,,,Arrowsmith,,,,,,,,
Coleman,J.W.,J.W. Coleman,,,,"A ""proprietor of an employment company,"" VP of Democracy (Sampson 60).",,,,,,Blacks in Black and White,,Democracy Photoplay Corporation,,
Colvin,George,George Colvin,,,,,,The Flying Ace,,,,,,,,
Conn,Irene,Irene Conn,,,,"The Chicago Defender (Big Weekend Edition) (1905-1966), Oct 30, 1920. 5",out (3).pdf (https://dl.airtable.com/mDk2ODmXRsj0maeNlRHw_out%20(3).pdf),In the Depths of Our Hearts,,,,Blacks in Black and White,,,,
Conners,Mrs.,Mrs. Conners,,,,,,A Man's Duty,,,,,,,,
Conrad,William,William Conrad,,,,,,,,The Assignment,,,,,,
Cook,Sam,Sam Cook,,,,,,Spitfire,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,
Cook,Jimmie,Jimmie Cook,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,Within Our Gates,,,,Oscar Micheaux and His Circle,,,,
Cook,Louise,Louise Cook,,,,,,The Exile,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Cooke,Earl Brown,Earl Brown Cooke,,,,,,The Dungeon,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Cooper,Kinky,Kinky Cooper,,,,,,The Grafter and the Maid,,,,Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,,,,
Cooper,Ralph,Ralph Cooper,,,,,,Bargain with Bullets,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Cornell,Ann,Ann Cornell,,,,"Box 4, Boy What a Girl folder, GPJ collection",,Boy What a Girl,,,,George P. Johnson Negro Film Collection,,,,
Cornick,Walter,Walter Cornick,Walter Cormick,,,,,"Body and Soul,The Midnight Ace",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Cox,Jimmie,Jimmie Cox,,,,,,The Disappearance of Mary Jane,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Cox,Jewel,Jewel Cox,,,,,,Foolish Lives,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Crawford,Sam,Sam Crawford,,,,,,As the World Rolls On,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Criddle,Baltimore,Baltimore Criddle,,,,,,The Custard Nine,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Criner,J. Lawrence,J. Lawrence Criner,John Lawrence Criner,6/19/1898,1965,,,"The Flying Ace,Black Gold,The Millionaire,The Brute,Oft in the Silly Night",,,,"Oscar Micheaux and His Circle,Blacks in Black and White",,,,
Criner,Jeanette,Jeanette Criner,,,,,,A Man's Duty,,,,,,,,
Criner,John,John Criner,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Crockett,J.,J. Crockett,,,,"Identified in entry for $10,000 Trail in Klotman. --MP",,The $10000 Trail,,,,Frame by Frame: A Black Filmography (Part 1),,,,
Crosby,Orma,Orma Crosby,,,,,,The Schemers,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,
Crowell,T.C.,T.C. Crowell,,,,,,Birthright,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Crowell,W.F.,W.F. Crowell,,,8/1/1929,"DOD given in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,The Dungeon,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Oscar Micheaux and His Circle",,,,
Custard,Virgil,Virgil Custard,,,,,,The Custard Nine,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Cutler,Marty,Marty Cutler,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Brute,,,,Oscar Micheaux and His Circle,,,,
Cyrus,S.,S. Cyrus,,,,"Cameraman for Paragon Pictures, per Sampson (77). --MP",,,,,,,,Paragon Pictures,,
Dabney,Ardelle,Ardelle Dabney,"Ardella Dabney, Adelle Dabney",,,,,"Thirty Years Later,The Broken Violin,The Wages of Sin",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Daly,William,William Daly,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Daniels,Lyons,Lyons Daniels,,,,,,The Flying Ace,,,,Oscar Micheaux and His Circle,,,,
Darden,Tasmania,Tasmania Darden,,,,,,A Man's Duty,,,,,,,,
David,N.C.,N.C. David,,,,,,,A Reckless Rover,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Davis,A. Porter,A. Porter Davis,Dr. A. Porter Davis,,,,,The Lure of a Woman,The Lure of a Woman,,,Slow Fade to Black,,,,
Davis,Marshall,Marshall Davis,,,,,,The Colored American Winning His Suit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Dawson,Rudolph,Rudolph Dawson,,,,,,A Daughter of the Congo,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Day,War,War Day,,,,,,The Midnight Ace,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
de Balzac,Jeanne,Jeanne de Balzac,,,,,,The Revue des Revues,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
De Bulger,Louis,Louis De Bulger,Louis DeBulger,,,,,"Deceit,The Gunsaulus Mystery",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
De Forest,Lee,Lee De Forest,Lee de Forrest,,,,,,Sissle and Blake,Sissle and Blake,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Deans,William,William Deans,,,,,,When Good Luck Comes Our Way,,When Good Luck Comes Our Way,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
DeComathiere,A.B.,A.B. DeComathiere,"A.B. Comathiere, Abe Comathiere",11/19/1877,5/18/1940,,,"The Brute,Thirty Years Later,Deceit,The Midnight Ace,The Exile",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Oscar Micheaux and His Circle",,,Lafayette Players,
DeLa Valade,Herman,Herman DeLa Valade,Herman DeLavalade,,,,out (3).pdf (https://dl.airtable.com/v5lcUxhbQCSINA8CDUx0_out%20(3).pdf),In the Depths of Our Hearts,,,,Blacks in Black and White,,,,
DeLegge,Boise,Boise DeLegge,,,,,,The Flying Ace,,,,Oscar Micheaux and His Circle,,,,
Dempsey,Pauline,Pauline Dempsey,,,,,,The Eyes of Mystery,,,,George P. Johnson Negro Film Collection,,,,
Dennis,E.M.,E.M. Dennis,,,,"Identified in entry for $10,000 Trail in Klotman. --MP",,The $10000 Trail,,,,Frame by Frame: A Black Filmography (Part 1),,,,
Desmond,Cleo,Cleo Desmond,,1888,,,,"Deceit,The Millionaire",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,Lafayette Players,
Diggs,Josiah,Josiah Diggs,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,Spider's Web,,,,Oscar Micheaux and His Circle,,,,
Dillon,W.H.,W.H. Dillon,,,,"An officer of the Peter P. Jones Film Co., per Sampson (72).",,,,,,Blacks in Black and White,,Peter P. Jones Photoplay Ltd.,,
Dixon,Allen D.,Allen D. Dixon,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Dixon,Henry,Henry Dixon,,,,,,The Flaming Crisis,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
